Species,Light,Nitrogen,Humidity,Temperature,GrowthRate
A.edulis,86.69713101349771,1.951584022655152,94.970258702524,19.127434997353703,40.40543012440583
A.edulis,74.31687478907406,2.6980970163829627,90.64541302388534,17.02207726193592,41.13918066002855
A.edulis,38.25835163705051,1.3297925399616362,50.23973038303666,28.89233048656024,45.2435920724858
A.edulis,20.423542817588896,4.726023813383653,82.57053777109832,24.645975910825655,35.44407819027196
B.badius,61.750366075430065,2.2436925275251274,68.30338837695308,24.066667043371126,50.1632393616122
B.badius,84.82347298413515,3.5352273572934796,51.03132995427586,19.543541504535824,49.08243364957784
B.badius,56.830578211229295,0.9616546705598013,67.89202607935295,18.226792115019634,38.34099389781899
A.edulis,72.46099257608876,1.2856766312848777,57.98913654522039,27.295743845170364,38.218635816253446
C.comatus,54.991359054110944,0.21604759618639946,61.409650769783184,23.499045360367745,39.200328760444094
C.comatus,41.87443588394672,1.7109781385865064,91.11401420668699,28.567912298021838,34.617918602278
A.edulis,96.83237431105226,2.124147985200398,66.86900517903268,24.024535064818338,51.06606535581132
A.edulis,93.0035128747113,0.6328973229043185,63.48943159566261,18.0111737921834,45.06159745695392
B.badius,28.413343597203493,4.275056074932218,84.69842117629014,27.286921602208167,41.75730407979727
B.badius,95.94126394717023,0.1443936991505325,50.6442500196863,24.845501492964104,39.14481297424734
B.badius,88.65935491397977,4.851841291063465,58.5940748732537,21.565090755466372,59.524403634195345
C.comatus,72.76103482814506,4.042768791969865,94.96877347119153,17.065869629150257,41.54228949073638
C.comatus,56.13344063516706,2.5550946218427275,50.83853435236961,15.315109299262986,32.82713189632125
A.edulis,53.2734863855876,4.6774777815444395,82.30465497006662,25.624367957934737,46.724109193185356
A.edulis,28.162083078641444,2.3924758913926785,74.18089548358694,16.452866544714198,31.614797040877857
C.comatus,19.020641890820116,2.6037862994475294,67.61598232667893,16.263047342654318,35.695268895857325
A.edulis,52.53299871692434,4.177886804006993,72.46732976171188,17.934797698399052,39.98934673287345
C.comatus,38.09616832761094,0.887183028459549,94.54668702092022,29.780007975641638,38.440064735460524
A.edulis,79.51593746198341,2.6546714721946048,72.26481851772405,24.97564088087529,49.6799395883047
A.edulis,91.09666011994705,2.2244770568795507,93.95054056541994,29.823213550262153,42.24516676917393
B.badius,40.170635571703315,1.7259086138801651,83.65653554559685,20.818271921016276,37.34712245193993
C.comatus,84.15498217567801,2.295316379470751,80.80272056860849,27.208988674683496,51.452794131583275
B.badius,29.802957384381443,0.3017200652975589,72.26361509645358,19.04228865285404,31.62733018142073
A.edulis,78.95113645354286,1.292483848682605,52.45327842072584,22.16238187509589,26.74855952113733
B.badius,60.46370659722015,0.6055313138756901,85.15127257443964,17.986288462998345,34.84781164834521
B.badius,48.11099839862436,1.8793416442582387,65.58304604026489,26.191856421064585,48.30988723974472
C.comatus,85.47128094360232,3.3229359594872223,50.997951958561316,23.416123091010377,44.914514617306395
C.comatus,35.85885287960991,2.1826943200780082,78.02485443535261,18.23747930699028,32.923709067229886
B.badius,52.364863061811775,0.4537437171675265,55.832983400905505,17.95896958792582,35.25824845347017
B.badius,80.27600800152868,3.4669918380910536,58.093169699423015,15.865424891235307,51.87707948542811
B.badius,17.44451535632834,4.278651537490077,78.63710510428064,20.180162731558084,42.01911477581592
B.badius,45.50657952204347,4.349366008955985,57.59295625262894,24.330777222057804,52.29891357092732
A.edulis,18.60952666029334,0.5365011112997309,66.2937023374252,17.60421940125525,29.38349549070545
A.edulis,21.999991238117218,0.16388675491325558,59.941602715989575,15.088444277644157,19.238663336500668
B.badius,29.90135602420196,2.1739547435892748,87.24258599802852,16.23794846353121,38.17880999388332
B.badius,34.670758694410324,4.868966408073902,50.16392329824157,17.85009691840969,43.54923214447792
C.comatus,36.915332472417504,2.5454336295602844,57.08821451407857,27.453867292497307,41.83971876204988
C.comatus,43.73080952791497,4.973797761811875,92.17419198947027,20.963228578912094,39.029955322901216
A.edulis,54.2307243286632,2.5249209268018604,84.44467725697905,16.4075444242917,45.83122714353722
A.edulis,89.07423611264676,0.702874446567148,86.9734931900166,28.347702675964683,50.72237519706161
B.badius,77.3856845870614,2.845890231593512,61.33104922133498,22.936628011520952,45.46611096215935
B.badius,95.96674208296463,1.2725333815673368,55.29000754817389,27.388168105389923,46.32182474821207
